Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SaveForm,Chrome 68.0.3440.106,,2018-09-19 17:29:48,2018-09-19 17:29:55,7.361s,PASSED
,,,,,,
Test Cases/Login/LoginTestCase,Chrome 68.0.3440.106,,2018-09-19 17:29:48,2018-09-19 17:29:54,5.671s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-19 17:29:48,2018-09-19 17:29:53,4.514s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:29:53,2018-09-19 17:29:53,0.150s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:29:53,2018-09-19 17:29:53,0.092s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:29:53,2018-09-19 17:29:54,0.584s,PASSED
verifyTextPresent,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.067s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.043s,PASSED
,,,,,,
Test Cases/SaveFormTestCase,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:55,1.342s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.096s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.094s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.090s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.097s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.040s,PASSED
check,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:54,0.072s,PASSED
click,Chrome 68.0.3440.106,,2018-09-19 17:29:54,2018-09-19 17:29:55,0.055s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-19 17:29:55,2018-09-19 17:29:55,0.669s,PASSED
